
wk,Date,HomeTeam,AwayTeam
1,dimanche 17 aot 2025,Rennes,Marseille
1,dimanche 17 aot 2025,Lens,Lyon
1,dimanche 17 aot 2025,Nice,Toulouse
1,dimanche 17 aot 2025,Auxerre,Lorient
1,dimanche 17 aot 2025,Brest,Lille
1,dimanche 17 aot 2025,Angers,Paris FC
1,dimanche 17 aot 2025,Metz,Strasbourg
1,dimanche 17 aot 2025,Monaco,Le Havre
1,dimanche 17 at 2025,Nantes,Paris SG
2,dimanche 24 t 2025,Marseille,Paris FC
2,dimanche 24 aot 2025,Lille,Monaco
2,dimanche 24 aot 2025,Le Havre,Lens
2,dimanche 24 at 2025,Lorient,Rennes
2,dimanche 24 aot 2025,Nice,Auxerre
2,dimanche 24 aot 2025,Toulouse,Brest
2,dimanche 24 aot 2025,Lyon,Metz
2,dimanche 24 aot 2025,Strasbourg,Nantes
2,dimanche 24 aot 2025,Paris SG,Angers
3,dimanche 31 aot 2025,Toulouse,Paris SG
3,dimanche 31 aot 2025,Monaco,Strasbourg
3,dimanche 31 at 2025,Lens,Brest
3,dimanche 31 aot 2025,Nantes,Auxerre
3,dimanche 31 aot 2025,Angers,Rennes
3,dimanche 31 aot 2025,Paris FC,Metz
3,dimanche 31 aot 2025,Le Havre,Nice
3,dimanche 31 aot 2025,Lorient,Lille
3,dimanche 31 aot 2025,Lyon,Marseille
4,dimanche 14 septembre 2025,Marseille,Lorient
4,dimanche 14 septembre 2025,Paris SG,Lens
4,dimanche 14 septembre 2025,Auxerre,Monaco
4,dimanche 14 septembre 2025,Nice,Nantes
4,dimanche 14 septembre 2025,Metz,Angers
4,dimanche 14 septembre 2025,Brest,Paris FC
4,dimanche 14 septembre 2025,Strasbourg,Le Havre
4,dimanche 14 septembre 2025,Lille,Toulouse
4,dimanche 14 septembre 2025,Rennes,Lyon
5,dimanche 21 septembre 2025,Lens,Lille
5,dimanche 21 septembre 2025,Nantes,Rennes
5,dimanche 21 septembre 2025,Paris FC,Strasbourg
5,dimanche 21 septembre 2025,Brest,Nice
5,dimanche 21 septembre 2025,Auxerre,Toulouse
5,dimanche 21 septembre 2025,Le Havre,Lorient
5,dimanche 21 septembre 2025,Monaco,Metz
5,dimanche 21 septembre 2025,Lyon,Angers
5,dimanche 21 septembre 2025,Marseille,Paris SG
6,dimanche 28 septembre 2025,Strasbourg,Marseille
6,dimanche 28 septembre 2025,Angers,Brest
6,dimanche 28 septembre 2025,Rennes,Lens
6,dimanche 28 septembre 2025,Toulouse,Nantes
6,dimanche 28 septembre 2025,Metz,Le Havre
6,dimanche 28 septembre 2025,Nice,Paris FC
6,dimanche 28 septembre 2025,Lorient,Monaco
